"season_year","race_number","track_name","race_date","season_stage"
2022,1,"Daytona International Speedway","2022-02-20","season"
2022,2,"Auto Club Speedway","2022-02-27","season"
2022,3,"Las Vegas Motor Speedway","2022-03-06","season"
2022,4,"Phoenix Raceway","2022-03-13","season"
2022,5,"Atlanta Motor Speedway","2022-03-20","season"
2022,6,"Circuit of the Americas","2022-03-27","season"
2022,7,"Richmond Raceway","2022-04-03","season"
2022,8,"Martinsville Speedway","2022-04-09","season"
2022,9,"Bristol Motor Speedway Dirt Track","2022-04-17","season"
2022,10,"Talladega Superspeedway","2022-04-24","season"
2022,11,"Dover Motor Speedway","2022-05-02","season"
2022,12,"Darlington Raceway","2022-05-08","season"
2022,13,"Kansas Speedway","2022-05-15","season"
2022,14,"Charlotte Motor Speedway","2022-05-29","season"
2022,15,"World Wide Technology Raceway at Gateway","2022-06-05","season"
2022,16,"Sonoma Raceway","2022-06-12","season"
2022,17,"Nashville Superspeedway","2022-06-26","season"
2022,18,"Road America","2022-07-03","season"
2022,19,"Atlanta Motor Speedway","2022-07-10","season"
2022,20,"New Hampshire Motor Speedway","2022-07-17","season"
2022,21,"Pocono Raceway","2022-07-24","season"
2022,22,"Indianapolis Grand Prix Circuit","2022-07-31","season"
2022,23,"Michigan International Speedway","2022-08-07","season"
2022,24,"Richmond Raceway","2022-08-14","season"
2022,25,"Watkins Glen International","2022-08-21","season"
2022,26,"Daytona International Speedway","2022-08-28","season"
2022,27,"Darlington Raceway","2022-09-04","playoff_16"
2022,28,"Kansas Speedway","2022-09-11","playoff_16"
2022,29,"Bristol Motor Speedway","2022-09-17","playoff_16"
2022,30,"Texas Motor Speedway","2022-09-25","playoff_12"
2022,31,"Talladega Superspeedway","2022-10-02","playoff_12"
2022,32,"Charlotte Motor Speedway Road Course","2022-10-09","playoff_12"
2022,33,"Las Vegas Motor Speedway","2022-10-16","playoff_8"
2022,34,"Homestead-Miami Speedway","2022-10-23","playoff_8"
2022,35,"Martinsville Speedway","2022-10-30","playoff_8"
2022,36,"Phoenix Raceway","2022-11-06","playoff_4"
2023,1,"Daytona International Speedway","2023-02-19","season"
2023,2,"Auto Club Speedway","2023-02-26","season"
2023,3,"Las Vegas Motor Speedway","2023-03-05","season"
2023,4,"Phoenix Raceway","2023-03-12","season"
2023,5,"Atlanta Motor Speedway","2023-03-19","season"
2023,6,"Circuit of the Americas","2023-03-26","season"
2023,7,"Richmond Raceway","2023-04-02","season"
2023,8,"Bristol Motor Speedway Dirt Track","2023-04-09","season"
2023,9,"Martinsville Speedway","2023-04-16","season"
2023,10,"Talladega Superspeedway","2023-04-23","season"
2023,11,"Dover Motor Speedway","2023-05-01","season"
2023,12,"Kansas Speedway","2023-05-07","season"
2023,13,"Darlington Raceway","2023-05-14","season"
2023,14,"Charlotte Motor Speedway","2023-05-29","season"
2023,15,"World Wide Technology Raceway at Gateway","2023-06-04","season"
2023,16,"Sonoma Raceway","2023-06-11","season"
2023,17,"Nashville Superspeedway","2023-06-25","season"
2023,18,"Chicago Street Course","2023-07-02","season"
2023,19,"Atlanta Motor Speedway","2023-07-09","season"
2023,20,"New Hampshire Motor Speedway","2023-07-17","season"
2023,21,"Pocono Raceway","2023-07-23","season"
2023,22,"Richmond Raceway","2023-07-30","season"
2023,23,"Michigan International Speedway","2023-08-07","season"
2023,24,"Indianapolis Grand Prix Circuit","2023-08-13","season"
2023,25,"Watkins Glen International","2023-08-20","season"
2023,26,"Daytona International Speedway","2023-08-26","season"
2023,27,"Darlington Raceway","2023-09-03","playoff_16"
2023,28,"Kansas Speedway","2023-09-10","playoff_16"
2023,29,"Bristol Motor Speedway","2023-09-16","playoff_16"
2023,30,"Texas Motor Speedway","2023-09-24","playoff_12"
2023,31,"Talladega Superspeedway","2023-10-01","playoff_12"
2023,32,"Charlotte Motor Speedway Road Course","2023-10-08","playoff_12"
2023,33,"Las Vegas Motor Speedway","2023-10-15","playoff_8"
2023,34,"Homestead-Miami Speedway","2023-10-22","playoff_8"
2023,35,"Martinsville Speedway","2023-10-29","playoff_8"
2023,36,"Phoenix Raceway","2023-11-05","playoff_4"
2024,1,"Daytona International Speedway","2024-02-19","season"
2024,2,"Atlanta Motor Speedway","2024-02-25","season"
2024,3,"Las Vegas Motor Speedway","2024-03-03","season"
2024,4,"Phoenix Raceway","2024-03-10","season"
2024,5,"Bristol Motor Speedway","2024-03-17","season"
2024,6,"Circuit of the Americas","2024-03-24","season"
2024,7,"Richmond Raceway","2024-03-31","season"
2024,8,"Martinsville Speedway","2024-04-07","season"
2024,9,"Texas Motor Speedway","2024-04-14","season"
2024,10,"Talladega Superspeedway","2024-04-21","season"
2024,11,"Dover Motor Speedway","2024-04-28","season"
2024,12,"Kansas Speedway","2024-05-05","season"
2024,13,"Darlington Raceway","2024-05-12","season"
2024,14,"Charlotte Motor Speedway","2024-05-26","season"
2024,15,"World Wide Technology Raceway at Gateway","2024-06-02","season"
2024,16,"Sonoma Raceway","2024-06-09","season"
2024,17,"Iowa Speedway","2024-06-16","season"
2024,18,"New Hampshire Motor Speedway","2024-06-23","season"
2024,19,"Nashville Superspeedway","2024-06-30","season"
2024,20,"Chicago Street Course","2024-07-07","season"
2024,21,"Pocono Raceway","2024-07-14","season"
2024,22,"Indianapolis Motor Speedway","2024-07-21","season"
2024,23,"Richmond Raceway","2024-08-11","season"
2024,24,"Michigan International Speedway","2024-08-18","season"
2024,25,"Daytona International Speedway","2024-08-24","season"
2024,26,"Darlington Raceway","2024-09-01","season"
2024,27,"Atlanta Motor Speedway","2024-09-08","playoff_16"
2024,28,"Watkins Glen International","2024-09-15","playoff_16"
2024,29,"Bristol Motor Speedway","2024-09-21","playoff_16"
2024,30,"Kansas Speedway","2024-09-29","playoff_12"
2024,31,"Talladega Superspeedway","2024-10-06","playoff_12"
2024,32,"Charlotte Motor Speedway Road Course","2024-10-13","playoff_12"
2024,33,"Las Vegas Motor Speedway","2024-10-20","playoff_8"
2024,34,"Homestead-Miami Speedway","2024-10-27","playoff_8"
2024,35,"Martinsville Speedway","2024-11-03","playoff_8"
2024,36,"Phoenix Raceway","2024-11-10","playoff_4"
2025,1,"Daytona International Speedway","2025-02-16","season"
2025,2,"Atlanta Motor Speedway","2025-02-23","season"
2025,3,"Circuit of the Americas","2025-03-02","season"
2025,4,"Phoenix Raceway","2025-03-09","season"
2025,5,"Las Vegas Motor Speedway","2025-03-16","season"
2025,6,"Homestead-Miami Speedway","2025-03-23","season"
2025,7,"Martinsville Speedway","2025-03-30","season"
2025,8,"Darlington Raceway","2025-04-06","season"
2025,9,"Bristol Motor Speedway","2025-04-13","season"
2025,10,"Talladega Superspeedway","2025-04-27","season"
2025,11,"Texas Motor Speedway","2025-05-04","season"
2025,12,"Kansas Speedway","2025-05-11","season"
2025,13,"Charlotte Motor Speedway","2025-05-25","season"
2025,14,"Nashville Superspeedway","2025-06-01","season"
2025,15,"Michigan International Speedway","2025-06-08","season"
2025,16,"Autodromo Hermanos Rodriguez","2025-06-15","season"
2025,17,"Pocono Raceway","2025-06-22","season"
2025,18,"Atlanta Motor Speedway","2025-06-28","season"
2025,19,"Chicago Street Course","2025-07-06","season"
2025,20,"Sonoma Raceway","2025-07-13","season"
2025,21,"Dover Motor Speedway","2025-07-20","season"
2025,22,"Indianapolis Motor Speedway","2025-07-27","season"
2025,23,"Iowa Speedway","2025-08-03","season"
2025,24,"Watkins Glen International","2025-08-10","season"
2025,25,"Richmond Raceway","2025-08-16","season"
2025,26,"Daytona International Speedway","2025-08-23","season"
2025,27,"Darlington Raceway","2025-08-31","playoff_16"
2025,28,"World Wide Technology Raceway at Gateway","2025-09-07","playoff_16"
2025,29,"Bristol Motor Speedway","2025-09-13","playoff_16"
2025,30,"New Hampshire Motor Speedway","2025-09-21","playoff_12"
2025,31,"Kansas Speedway","2025-09-28","playoff_12"
2025,32,"Charlotte Motor Speedway Road Course","2025-10-05","playoff_12"
2025,33,"Las Vegas Motor Speedway","2025-10-12","playoff_8"
2025,34,"Talladega Superspeedway","2025-10-19","playoff_8"
2025,35,"Martinsville Speedway","2025-10-26","playoff_8"
2025,36,"Phoenix Raceway","2025-11-02","playoff_4"
