driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating,season_year,race_number
Austin Cindric,5,2,1,1,33,6.0,-13,168,181,125,74.4,0,176,87.6,21.0,10.4,201,122.4,2022,1
Bubba Wallace,16,19,2,1,23,10.0,16,253,237,191,75.5,7,145,72.1,12.0,6.0,201,104.7,2022,1
Chase Briscoe,9,10,3,3,38,18.0,17,209,192,70,33.5,6,88,43.8,0.0,0.0,201,75.0,2022,1
Ryan Blaney,7,1,4,1,35,8.0,-18,163,181,134,82.2,3,175,87.1,36.0,17.9,201,107.5,2022,1
Aric Almirola,38,11,5,3,38,16.0,8,244,236,97,39.8,4,104,51.7,0.0,0.0,201,80.3,2022,1
Kyle Busch,10,20,6,1,29,11.0,9,255,246,182,71.4,5,125,62.2,28.0,13.9,201,101.4,2022,1
Michael McDowell,6,8,7,4,32,12.0,-19,222,241,160,72.1,2,144,71.6,0.0,0.0,201,93.6,2022,1
David Ragan,34,29,8,2,38,25.0,-9,110,119,8,7.3,6,18,9.0,0.0,0.0,201,63.7,2022,1
Brad Keselowski,3,5,9,1,23,5.0,1,171,170,148,86.5,4,198,98.5,67.0,33.3,201,121.3,2022,1
Chase Elliott,11,23,10,2,26,16.0,-2,249,251,131,52.6,6,93,46.3,0.0,0.0,201,72.5,2022,1
Ty Dillon,26,9,11,5,33,16.0,-20,210,230,62,29.5,3,102,50.7,0.0,0.0,201,77.7,2022,1
Daniel Hemric,33,24,12,2,40,26.0,-2,96,98,28,29.2,7,20,10.0,0.0,0.0,201,60.6,2022,1
Martin Truex Jr,14,18,13,1,23,12.0,25,258,233,192,74.4,4,143,71.1,11.0,5.5,201,94.0,2022,1
Corey LaJoie,24,25,14,1,36,25.0,-4,92,96,0,0.0,2,7,3.5,0.0,0.0,201,57.2,2022,1
Landon Cassill,27,27,15,3,38,28.0,-2,71,73,2,2.8,2,8,4.0,0.0,0.0,201,51.7,2022,1
Chris Buescher,4,3,16,1,34,8.0,-13,161,174,136,84.5,1,173,86.5,0.0,0.0,200,97.4,2022,1
Cody Ware,32,28,17,12,39,27.0,-22,57,79,0,0.0,4,0,0.0,0.0,0.0,200,48.6,2022,1
Daniel Suarez,21,22,18,5,32,21.0,-27,156,183,65,41.7,4,30,15.1,0.0,0.0,199,59.0,2022,1
Kurt Busch,17,21,19,1,30,18.0,21,201,180,116,57.7,11,80,40.2,0.0,0.0,199,74.6,2022,1
Cole Custer,31,7,20,3,37,22.0,-17,127,144,22,17.3,3,47,23.6,0.0,0.0,199,55.2,2022,1
Joey Logano,20,12,21,1,34,18.0,50,244,194,79,32.4,8,80,40.4,1.0,0.5,198,83.6,2022,1
Jacques Villeneuve,40,30,22,4,40,29.0,-5,50,55,0,0.0,6,2,1.0,0.0,0.0,198,42.7,2022,1
Justin Haley,25,31,23,2,38,31.0,-5,67,72,4,6.0,2,2,1.0,0.0,0.0,198,41.4,2022,1
Alex Bowman,2,34,24,2,36,27.0,-5,132,137,73,55.3,6,34,17.3,0.0,0.0,197,65.8,2022,1
Austin Dillon,36,26,25,2,37,27.0,7,139,132,14,10.1,3,10,5.1,1.0,0.5,197,43.0,2022,1
Kaz Grala,35,33,26,24,39,33.0,-4,52,56,0,0.0,1,0,0.0,0.0,0.0,196,35.8,2022,1
B.J. McLeod,37,32,27,7,38,32.0,-6,51,57,0,0.0,2,2,1.0,0.0,0.0,196,35.7,2022,1
Ricky Stenhouse Jr,18,15,28,1,31,11.0,18,248,230,192,77.4,6,153,78.9,16.0,8.2,194,93.9,2022,1
Erik Jones,13,17,29,1,30,12.0,-21,216,237,138,63.9,6,125,65.4,3.0,1.6,191,81.0,2022,1
Kevin Harvick,22,4,30,1,33,14.0,-30,212,242,96,45.3,3,123,64.4,0.0,0.0,191,72.8,2022,1
