season_year,race_number,race_name,track_name,race_date,cautions_number,green_flag_percent,average_green_flag_run_laps,number_of_leaders,average_leading_run_laps,most_laps_led,most_laps_led_driver,most_laps_led_percent
2022,1,Daytona 500,Daytona International Speedway,2022-02-20,7,0.8159203980099502,20.5,13,5.742857142857143,67,Brad Keselowski,0.3333333333333333
2022,2,Wise Power 400,Auto Club Speedway,2022-02-27,12,0.705,10.846153846153848,9,6.25,90,Tyler Reddick,0.45
2022,3,Pennzoil 400,Las Vegas Motor Speedway,2022-03-06,12,0.781021897810219,16.46153846153846,15,11.416666666666666,83,Ross Chastain,0.3029197080291971
2022,4,Ruoff Mortgage 500k,Phoenix Raceway,2022-03-13,8,0.8333333333333334,28.88888888888889,6,20.8,143,Ryan Blaney,0.4583333333333333
2022,5,Folds of Honor QuikTrip 500,Atlanta Motor Speedway,2022-03-20,11,0.8,21.666666666666668,20,7.065217391304348,111,William Byron,0.3415384615384615
2022,6,Echopark Automotive Texas Grand Prix,Circuit of the Americas,2022-03-27,9,0.8115942028985508,5.6,9,5.3076923076923075,31,Ross Chastain,0.4492753623188406
2022,7,Toyota Owners 400,Richmond Raceway,2022-04-03,5,0.9125,60.833333333333336,7,28.571428571428573,128,Ryan Blaney,0.32
2022,8,Blue Emu Maximum Pain Relief 400,Martinsville Speedway,2022-04-09,4,0.9106699751861044,73.4,4,67.16666666666667,212,William Byron,0.5260545905707196
2022,9,Food City Dirt Race,Bristol Motor Speedway Dirt Track,2022-04-17,14,0.672,11.2,5,41.666666666666664,99,Tyler Reddick,0.396
2022,10,GEICO 500,Talladega Superspeedway,2022-04-24,6,0.851063829787234,22.857142857142858,16,4.476190476190476,38,William Byron,0.202127659574468
2022,11,Duramax Drydene 400,Dover Motor Speedway,2022-05-02,13,0.8125,25.0,10,22.22222222222222,103,Kyle Busch,0.2575
2022,12,Goodyear 400,Darlington Raceway,2022-05-08,9,0.8395904436860068,24.6,13,12.208333333333334,107,Joey Logano,0.3651877133105802
2022,13,Advent Health 400,Kansas Speedway,2022-05-15,8,0.8239700374531835,24.444444444444443,10,14.052631578947368,116,Kurt Busch,0.4344569288389513
2022,14,Coca-Cola 600,Charlotte Motor Speedway,2022-05-29,18,0.7820823244552058,17.0,13,13.32258064516129,153,Ross Chastain,0.3704600484261501
2022,15,Enjoy Illinois 300,World Wide Technology Raceway at Gateway,2022-06-05,10,0.7836734693877551,17.454545454545453,9,18.846153846153847,66,Kyle Busch,0.2693877551020408
2022,16,Toyota Save Mart 350,Sonoma Raceway,2022-06-12,4,0.8727272727272727,19.2,6,15.714285714285714,47,Daniel Suarez,0.4272727272727272
2022,17,Ally 400,Nashville Superspeedway,2022-06-26,10,0.81,22.09090909090909,7,15.789473684210526,114,Denny Hamlin,0.38
2022,18,Kwik Trip 250 Presented by Jockey,Road America,2022-07-03,2,0.967741935483871,20.0,6,6.888888888888889,36,Chase Elliott,0.5806451612903226
2022,19,Quaker State 400 Presented by Walmart,Atlanta Motor Speedway,2022-07-10,13,0.7538461538461538,15.076923076923077,12,9.62962962962963,96,Chase Elliott,0.3692307692307692
2022,20,Ambetter 301,New Hampshire Motor Speedway,2022-07-17,9,0.8272425249169435,24.9,7,33.44444444444444,172,"Martin Truex, Jr.",0.5714285714285714
2022,21,M&M's Fan Appreciation 400,Pocono Raceway,2022-07-24,9,0.76875,12.3,10,10.666666666666666,63,Kyle Busch,0.39375
