driver_name,car_number,team_name,manufacturer,season_year,race_number,race_pos,quali_pos,stage_1_pos,stage_2_pos,stage_3_pos,laps_led,status,season_points,finish_position_points,stage_points,playoff_points
Austin Cindric,2,Team Penske,Ford,2022,1,1,5,0,6,0,21,running,45,40,5,5
Bubba Wallace,23,23XI Racing,Toyota,2022,1,2,16,0,3,0,12,running,43,35,8,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,1,3,9,0,0,0,0,running,34,34,0,0
Ryan Blaney,12,Team Penske,Ford,2022,1,4,7,0,0,0,36,running,33,33,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,1,5,38,0,0,0,0,running,32,32,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,1,6,10,0,0,0,28,running,31,31,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,1,7,6,0,0,0,0,running,30,30,0,0
David Ragan,15,Rick Ware Racing,Ford,2022,1,8,34,0,0,0,0,running,29,29,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,1,9,3,2,4,0,67,running,44,28,16,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,1,10,11,10,0,0,0,running,28,27,1,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,1,11,26,0,0,0,0,running,26,26,0,0
Daniel Hemric,16,Kaulig Racing,Chevrolet,2022,1,12,33,0,0,0,0,running,0,25,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,1,13,14,1,1,0,11,running,44,24,20,2
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,1,14,24,0,0,0,0,running,23,23,0,0
Landon Cassill,77,Spire Motorsports,Chevrolet,2022,1,15,27,0,0,0,0,running,0,22,0,0
Chris Buescher,17,RFK Racing,Ford,2022,1,16,4,0,7,0,0,running,25,21,4,0
Cody Ware,51,Rick Ware Racing,Ford,2022,1,17,32,0,0,0,0,running,20,20,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,1,18,21,0,0,0,0,running,19,19,0,0
Kurt Busch,45,23XI Racing,Toyota,2022,1,19,17,7,0,0,0,running,22,18,4,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,1,20,31,0,0,0,0,running,17,17,0,0
Joey Logano,22,Team Penske,Ford,2022,1,21,20,5,2,0,1,running,31,16,15,0
Jacques Villeneuve,27,Team Hezeberg,Ford,2022,1,22,40,0,0,0,0,running,15,15,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,1,23,25,0,0,0,0,running,14,14,0,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,1,24,2,0,0,0,0,running,13,13,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,1,25,36,6,0,0,1,running,17,12,5,0
Kaz Grala,50,23XI Racing,Chevrolet,2022,1,26,35,0,0,0,0,running,11,11,0,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,1,27,37,0,0,0,0,running,10,10,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,1,28,18,4,5,0,16,crash,22,9,13,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,1,29,13,8,0,0,3,crash,11,8,3,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,1,30,22,0,8,0,0,dvp,10,7,3,0
Noah Gragson,62,Beard Motorsports,Chevrolet,2022,1,31,39,0,0,0,0,crash,0,6,0,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,1,32,1,9,9,0,1,crash,9,5,4,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,1,33,29,3,10,0,0,crash,13,4,9,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,1,34,12,0,0,0,0,crash,3,3,0,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,1,35,15,0,0,0,0,crash,2,2,0,0
Greg Biffle,44,NY Racing Team,Chevrolet,2022,1,36,28,0,0,0,0,running,1,1,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,1,37,30,0,0,0,0,crash,1,1,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,1,38,23,0,0,0,1,crash,1,1,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,1,39,8,0,0,0,3,crash,1,1,0,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,1,40,19,0,0,0,0,crash,1,1,0,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,2,1,13,5,5,0,28,running,52,40,12,5
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,2,2,16,0,0,0,0,running,35,35,0,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,2,3,2,2,2,0,18,running,52,34,18,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,2,4,15,0,0,0,0,running,33,33,0,0
Joey Logano,22,Team Penske,Ford,2022,2,5,7,7,3,0,14,running,44,32,12,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,2,6,31,0,8,0,0,running,34,31,3,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,2,7,32,0,0,0,1,running,30,30,0,0
Kurt Busch,45,23XI Racing,Toyota,2022,2,8,36,0,0,0,0,running,29,29,0,0
Daniel Hemric,16,Kaulig Racing,Chevrolet,2022,2,9,5,0,0,0,0,running,0,28,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,2,10,17,10,0,0,0,running,28,27,1,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,2,11,21,0,6,0,0,running,31,26,5,0
Austin Cindric,2,Team Penske,Ford,2022,2,12,1,9,7,0,0,running,31,25,6,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,2,13,12,0,0,0,0,running,24,24,0,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,2,14,3,0,0,0,0,running,23,23,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,2,15,4,0,10,0,0,running,23,22,1,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,2,16,24,4,0,0,20,running,28,21,7,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,2,17,18,0,0,0,0,running,20,20,0,0
Ryan Blaney,12,Team Penske,Ford,2022,2,18,6,8,4,0,1,running,29,19,10,0
Bubba Wallace,23,23XI Racing,Toyota,2022,2,19,34,0,0,0,0,running,18,18,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,2,20,26,0,0,0,0,running,17,17,0,0
Garrett Smithley,15,Rick Ware Racing,Ford,2022,2,21,29,0,0,0,0,running,16,16,0,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,2,22,30,0,0,0,0,running,15,15,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,2,23,35,0,0,0,0,running,14,14,0,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,2,24,11,1,1,0,90,running,33,13,20,2
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,2,25,14,6,0,0,0,running,17,12,5,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,2,26,8,0,0,0,12,running,11,11,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,2,27,9,0,0,0,0,running,10,10,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,2,28,25,0,0,0,0,running,9,9,0,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,2,29,33,0,0,0,0,running,8,8,0,0
Josh Bilicki,77,Spire Motorsports,Chevrolet,2022,2,30,28,0,0,0,0,running,0,7,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,2,31,23,0,0,0,0,electrical,6,6,0,0
Cody Ware,51,Rick Ware Racing,Ford,2022,2,32,27,0,0,0,0,running,5,5,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,2,33,22,0,0,0,0,crash,4,4,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,2,34,10,3,9,0,16,crash,13,3,10,0
Chris Buescher,17,RFK Racing,Ford,2022,2,35,20,0,0,0,0,crash,2,2,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,2,36,19,0,0,0,0,engine,1,1,0,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,3,1,13,1,0,0,16,running,50,40,10,6
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,3,2,2,6,3,0,27,running,48,35,13,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,3,3,18,3,1,0,83,running,52,34,18,1
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,3,4,37,9,5,0,49,running,41,33,8,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,3,5,14,2,4,0,8,running,48,32,16,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,3,6,20,0,0,0,0,running,31,31,0,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,3,7,7,0,0,0,0,running,30,30,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,3,8,12,0,6,0,1,running,34,29,5,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,3,9,5,5,2,0,0,running,43,28,15,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,3,10,1,10,0,0,32,running,28,27,1,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,3,11,10,0,0,0,0,running,26,26,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,3,12,25,0,8,0,0,running,28,25,3,0
Kurt Busch,45,23XI Racing,Toyota,2022,3,13,31,0,0,0,4,running,24,24,0,0
Joey Logano,22,Team Penske,Ford,2022,3,14,6,0,7,0,0,running,27,23,4,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,3,15,29,0,0,0,0,running,22,22,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,3,16,19,0,0,0,0,running,21,21,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,3,17,28,0,0,0,0,running,20,20,0,0
Chris Buescher,17,RFK Racing,Ford,2022,3,18,27,0,0,0,0,running,19,19,0,0
Austin Cindric,2,Team Penske,Ford,2022,3,19,3,0,0,0,0,running,18,18,0,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,3,20,32,0,0,0,1,running,17,17,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,3,21,9,0,0,0,4,running,16,16,0,0
Daniel Hemric,16,Kaulig Racing,Chevrolet,2022,3,22,16,0,0,0,0,running,0,15,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2022,3,23,30,0,0,0,0,running,14,14,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,3,24,15,0,0,0,3,running,13,13,0,0
Bubba Wallace,23,23XI Racing,Toyota,2022,3,25,17,0,10,0,0,running,13,12,1,0
Cody Ware,51,Rick Ware Racing,Ford,2022,3,26,33,0,0,0,0,running,11,11,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,3,27,22,0,0,0,4,running,10,10,0,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,3,28,35,0,0,0,0,running,9,9,0,0
Josh Bilicki,77,Spire Motorsports,Chevrolet,2022,3,29,34,0,0,0,0,running,0,8,0,0
Garrett Smithley,15,Rick Ware Racing,Ford,2022,3,30,36,0,0,0,0,running,7,7,0,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,3,31,23,0,0,0,0,crash,6,6,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,3,32,8,4,9,0,31,drivetrain,14,5,9,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,3,33,24,0,0,0,0,engine,4,4,0,0
Greg Biffle,44,NY Racing Team,Chevrolet,2022,3,34,26,0,0,0,1,fuel pump,3,3,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,3,35,4,8,0,0,0,crash,5,2,3,0
Ryan Blaney,12,Team Penske,Ford,2022,3,36,11,7,0,0,10,crash,5,1,4,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,3,37,21,0,0,0,0,crash,1,1,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2022,4,1,6,2,8,0,101,running,52,40,12,5
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,4,2,17,0,7,0,0,running,39,35,4,0
Tyler Reddick,8,Richard Childress Racing,Chevrolet,2022,4,3,12,4,6,0,0,running,46,34,12,0
Ryan Blaney,12,Team Penske,Ford,2022,4,4,1,0,1,0,143,running,43,33,10,1
Kurt Busch,45,23XI Racing,Toyota,2022,4,5,15,0,0,0,0,running,32,32,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2022,4,6,16,8,3,0,0,running,42,31,11,0
Kyle Busch,18,Joe Gibbs Racing,Toyota,2022,4,7,11,0,0,0,0,running,30,30,0,0
Joey Logano,22,Team Penske,Ford,2022,4,8,10,9,10,0,4,running,32,29,3,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,4,9,23,0,0,0,0,running,28,28,0,0
Chris Buescher,17,RFK Racing,Ford,2022,4,10,26,0,0,0,0,running,27,27,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,4,11,19,3,2,0,50,running,43,26,17,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2022,4,12,5,0,0,0,0,running,25,25,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2022,4,13,2,0,0,0,0,running,24,24,0,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,4,14,9,5,0,0,0,running,29,23,6,0
Ty Dillon,42,Petty GMS Motorsports,Chevrolet,2022,4,15,21,0,0,0,0,running,22,22,0,0
Cole Custer,41,Stewart-Haas Racing,Ford,2022,4,16,25,0,0,0,0,running,21,21,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,4,17,28,0,0,0,0,running,20,20,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,4,18,3,1,4,0,12,running,36,19,17,1
Todd Gilliland,38,Front Row Motorsports,Ford,2022,4,19,33,0,0,0,0,running,18,18,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2022,4,20,29,0,0,0,0,running,0,17,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2022,4,21,13,10,9,0,0,crash,19,16,3,0
Bubba Wallace,23,23XI Racing,Toyota,2022,4,22,27,0,0,0,0,running,15,15,0,0
Brad Keselowski,6,RFK Racing,Ford,2022,4,23,18,0,0,0,0,running,14,14,0,0
Austin Cindric,2,Team Penske,Ford,2022,4,24,8,0,0,0,0,running,13,13,0,0
Erik Jones,43,Petty GMS Motorsports,Chevrolet,2022,4,25,14,0,0,0,0,running,12,12,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2022,4,26,4,6,0,0,0,running,16,11,5,0
Michael McDowell,34,Front Row Motorsports,Ford,2022,4,27,22,0,0,0,0,running,10,10,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2022,4,28,36,0,0,0,0,running,9,9,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2022,4,29,24,0,0,0,0,running,8,8,0,0
Landon Cassill,77,Spire Motorsports,Chevrolet,2022,4,30,31,0,0,0,0,running,0,7,0,0
Cody Ware,51,Rick Ware Racing,Ford,2022,4,31,32,0,0,0,0,running,6,6,0,0
Garrett Smithley,15,Rick Ware Racing,Ford,2022,4,32,35,0,0,0,0,running,5,5,0,0
B.J. McLeod,78,Live Fast Motorsports,Ford,2022,4,33,34,0,0,0,0,running,4,4,0,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2022,4,34,7,7,5,0,2,engine,13,3,10,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,4,35,20,0,0,0,0,crash,2,2,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,4,36,30,0,0,0,0,crash,1,1,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2022,5,1,12,1,9,0,111,running,52,40,12,6
Ross Chastain,1,Trackhouse Racing,Chevrolet,2022,5,2,7,0,10,0,42,running,36,35,1,0
Kurt Busch,45,23XI Racing,Toyota,2022,5,3,9,6,0,0,4,running,39,34,5,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2022,5,4,13,3,6,0,13,running,46,33,13,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2022,5,5,33,0,0,0,0,running,32,32,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2022,5,6,6,0,2,0,29,running,40,31,9,0
Chris Buescher,17,RFK Racing,Ford,2022,5,7,14,0,0,0,0,running,30,30,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2022,5,8,26,0,7,0,5,running,33,29,4,0
Joey Logano,22,Team Penske,Ford,2022,5,9,3,0,0,0,12,running,28,28,0,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2022,5,10,11,7,0,0,0,running,31,27,4,0
Justin Haley,31,Kaulig Racing,Chevrolet,2022,5,11,22,0,0,0,1,running,26,26,0,0
