driver_name,season_year,race_number,race_season_points,wins,stage_wins,race_playoff_points,race_finish_points,race_stage_points
Austin Cindric,2022,1,45,1,0,5,40,5
Bubba Wallace,2022,1,43,0,0,0,35,8
Chase Briscoe,2022,1,34,0,0,0,34,0
Ryan Blaney,2022,1,33,0,0,0,33,0
Aric Almirola,2022,1,32,0,0,0,32,0
Kyle Busch,2022,1,31,0,0,0,31,0
Michael McDowell,2022,1,30,0,0,0,30,0
David Ragan,2022,1,29,0,0,0,29,0
Brad Keselowski,2022,1,44,0,0,0,28,16
Chase Elliott,2022,1,28,0,0,0,27,1
Ty Dillon,2022,1,26,0,0,0,26,0
Daniel Hemric,2022,1,0,0,0,0,25,0
Martin Truex Jr,2022,1,44,0,2,2,24,20
Corey LaJoie,2022,1,23,0,0,0,23,0
Landon Cassill,2022,1,0,0,0,0,22,0
Chris Buescher,2022,1,25,0,0,0,21,4
Cody Ware,2022,1,20,0,0,0,20,0
Daniel Suarez,2022,1,19,0,0,0,19,0
Kurt Busch,2022,1,22,0,0,0,18,4
Cole Custer,2022,1,17,0,0,0,17,0
Joey Logano,2022,1,31,0,0,0,16,15
Jacques Villeneuve,2022,1,15,0,0,0,15,0
Justin Haley,2022,1,14,0,0,0,14,0
Alex Bowman,2022,1,13,0,0,0,13,0
Austin Dillon,2022,1,17,0,0,0,12,5
Kaz Grala,2022,1,11,0,0,0,11,0
B.J. McLeod,2022,1,10,0,0,0,10,0
Ricky Stenhouse Jr,2022,1,22,0,0,0,9,13
Erik Jones,2022,1,11,0,0,0,8,3
Kevin Harvick,2022,1,10,0,0,0,7,3
Noah Gragson,2022,1,0,0,0,0,6,0
Kyle Larson,2022,1,9,0,0,0,5,4
Todd Gilliland,2022,1,13,0,0,0,4,9
Christopher Bell,2022,1,3,0,0,0,3,0
Tyler Reddick,2022,1,2,0,0,0,2,0
Greg Biffle,2022,1,1,0,0,0,1,0
Denny Hamlin,2022,1,1,0,0,0,1,0
William Byron,2022,1,1,0,0,0,1,0
Harrison Burton,2022,1,1,0,0,0,1,0
Ross Chastain,2022,1,1,0,0,0,1,0
Kyle Larson,2022,2,52,1,0,5,40,12
Austin Dillon,2022,2,35,0,0,0,35,0
Erik Jones,2022,2,52,0,0,0,34,18
Daniel Suarez,2022,2,33,0,0,0,33,0
Joey Logano,2022,2,44,0,0,0,32,12
Aric Almirola,2022,2,34,0,0,0,31,3
Kevin Harvick,2022,2,30,0,0,0,30,0
Kurt Busch,2022,2,29,0,0,0,29,0
Daniel Hemric,2022,2,0,0,0,0,28,0
Ricky Stenhouse Jr,2022,2,28,0,0,0,27,1
Cole Custer,2022,2,31,0,0,0,26,5
Austin Cindric,2022,2,31,0,0,0,25,6
Martin Truex Jr,2022,2,24,0,0,0,24,0
Kyle Busch,2022,2,23,0,0,0,23,0
Denny Hamlin,2022,2,23,0,0,0,22,1
Chase Briscoe,2022,2,28,0,0,0,21,7
Ty Dillon,2022,2,20,0,0,0,20,0
Ryan Blaney,2022,2,29,0,0,0,19,10
Bubba Wallace,2022,2,18,0,0,0,18,0
Todd Gilliland,2022,2,17,0,0,0,17,0
Garrett Smithley,2022,2,16,0,0,0,16,0
B.J. McLeod,2022,2,15,0,0,0,15,0
Justin Haley,2022,2,14,0,0,0,14,0
Tyler Reddick,2022,2,33,0,2,2,13,20
Alex Bowman,2022,2,17,0,0,0,12,5
Chase Elliott,2022,2,11,0,0,0,11,0
Brad Keselowski,2022,2,10,0,0,0,10,0
Corey LaJoie,2022,2,9,0,0,0,9,0
Ross Chastain,2022,2,8,0,0,0,8,0
Josh Bilicki,2022,2,0,0,0,0,7,0
Michael McDowell,2022,2,6,0,0,0,6,0
Cody Ware,2022,2,5,0,0,0,5,0
Harrison Burton,2022,2,4,0,0,0,4,0
William Byron,2022,2,13,0,0,0,3,10
Chris Buescher,2022,2,2,0,0,0,2,0
Christopher Bell,2022,2,1,0,0,0,1,0
Alex Bowman,2022,3,50,1,1,6,40,10
Kyle Larson,2022,3,48,0,0,0,35,13
Ross Chastain,2022,3,52,0,1,1,34,18
Kyle Busch,2022,3,41,0,0,0,33,8
William Byron,2022,3,48,0,0,0,32,16
Aric Almirola,2022,3,31,0,0,0,31,0
Tyler Reddick,2022,3,30,0,0,0,30,0
Martin Truex Jr,2022,3,34,0,0,0,29,5
Chase Elliott,2022,3,43,0,0,0,28,15
Christopher Bell,2022,3,28,0,0,0,27,1
Austin Dillon,2022,3,26,0,0,0,26,0
Kevin Harvick,2022,3,28,0,0,0,25,3
Kurt Busch,2022,3,24,0,0,0,24,0
Joey Logano,2022,3,27,0,0,0,23,4
Corey LaJoie,2022,3,22,0,0,0,22,0
Harrison Burton,2022,3,21,0,0,0,21,0
Justin Haley,2022,3,20,0,0,0,20,0
Chris Buescher,2022,3,19,0,0,0,19,0
Austin Cindric,2022,3,18,0,0,0,18,0
Ty Dillon,2022,3,17,0,0,0,17,0
Ricky Stenhouse Jr,2022,3,16,0,0,0,16,0
Daniel Hemric,2022,3,0,0,0,0,15,0
Todd Gilliland,2022,3,14,0,0,0,14,0
Brad Keselowski,2022,3,13,0,0,0,13,0
Bubba Wallace,2022,3,13,0,0,0,12,1
Cody Ware,2022,3,11,0,0,0,11,0
Michael McDowell,2022,3,10,0,0,0,10,0
B.J. McLeod,2022,3,9,0,0,0,9,0
Josh Bilicki,2022,3,0,0,0,0,8,0
Garrett Smithley,2022,3,7,0,0,0,7,0
Erik Jones,2022,3,6,0,0,0,6,0
Denny Hamlin,2022,3,14,0,0,0,5,9
Cole Custer,2022,3,4,0,0,0,4,0
Greg Biffle,2022,3,3,0,0,0,3,0
Chase Briscoe,2022,3,5,0,0,0,2,3
Ryan Blaney,2022,3,5,0,0,0,1,4
Daniel Suarez,2022,3,1,0,0,0,1,0
Chase Briscoe,2022,4,52,1,0,5,40,12
Ross Chastain,2022,4,39,0,0,0,35,4
Tyler Reddick,2022,4,46,0,0,0,34,12
Ryan Blaney,2022,4,43,0,1,1,33,10
Kurt Busch,2022,4,32,0,0,0,32,0
Kevin Harvick,2022,4,42,0,0,0,31,11
Kyle Busch,2022,4,30,0,0,0,30,0
Joey Logano,2022,4,32,0,0,0,29,3
Daniel Suarez,2022,4,28,0,0,0,28,0
Chris Buescher,2022,4,27,0,0,0,27,0
Chase Elliott,2022,4,43,0,0,0,26,17
Aric Almirola,2022,4,25,0,0,0,25,0
Denny Hamlin,2022,4,24,0,0,0,24,0
Alex Bowman,2022,4,29,0,0,0,23,6
Ty Dillon,2022,4,22,0,0,0,22,0
Cole Custer,2022,4,21,0,0,0,21,0
Justin Haley,2022,4,20,0,0,0,20,0
William Byron,2022,4,36,0,1,1,19,17
Todd Gilliland,2022,4,18,0,0,0,18,0
A.J. Allmendinger,2022,4,0,0,0,0,17,0
Austin Dillon,2022,4,19,0,0,0,16,3
Bubba Wallace,2022,4,15,0,0,0,15,0
Brad Keselowski,2022,4,14,0,0,0,14,0
Austin Cindric,2022,4,13,0,0,0,13,0
Erik Jones,2022,4,12,0,0,0,12,0
Christopher Bell,2022,4,16,0,0,0,11,5
Michael McDowell,2022,4,10,0,0,0,10,0
Ricky Stenhouse Jr,2022,4,9,0,0,0,9,0
Harrison Burton,2022,4,8,0,0,0,8,0
Landon Cassill,2022,4,0,0,0,0,7,0
Cody Ware,2022,4,6,0,0,0,6,0
Garrett Smithley,2022,4,5,0,0,0,5,0
B.J. McLeod,2022,4,4,0,0,0,4,0
Kyle Larson,2022,4,13,0,0,0,3,10
Martin Truex Jr,2022,4,2,0,0,0,2,0
Corey LaJoie,2022,4,1,0,0,0,1,0
William Byron,2022,5,52,1,1,6,40,12
Ross Chastain,2022,5,36,0,0,0,35,1
Kurt Busch,2022,5,39,0,0,0,34,5
Daniel Suarez,2022,5,46,0,0,0,33,13
Corey LaJoie,2022,5,32,0,0,0,32,0
Chase Elliott,2022,5,40,0,0,0,31,9
Chris Buescher,2022,5,30,0,0,0,30,0
Martin Truex Jr,2022,5,33,0,0,0,29,4
Joey Logano,2022,5,28,0,0,0,28,0
Alex Bowman,2022,5,31,0,0,0,27,4
Justin Haley,2022,5,26,0,0,0,26,0
Brad Keselowski,2022,5,-69,0,0,-10,25,6
Bubba Wallace,2022,5,27,0,0,0,24,3
Erik Jones,2022,5,29,0,0,0,23,6
Chase Briscoe,2022,5,30,0,0,0,22,8
Josh Bilicki,2022,5,0,0,0,0,21,0
Ryan Blaney,2022,5,30,0,1,1,20,10
David Ragan,2022,5,19,0,0,0,19,0
B.J. McLeod,2022,5,18,0,0,0,18,0
Greg Biffle,2022,5,17,0,0,0,17,0
Kevin Harvick,2022,5,16,0,0,0,16,0
Aric Almirola,2022,5,22,0,0,0,15,7
Christopher Bell,2022,5,15,0,0,0,14,1
Michael McDowell,2022,5,13,0,0,0,13,0
Harrison Burton,2022,5,12,0,0,0,12,0
Cody Ware,2022,5,11,0,0,0,11,0
Todd Gilliland,2022,5,10,0,0,0,10,0
Tyler Reddick,2022,5,12,0,0,0,9,3
Denny Hamlin,2022,5,17,0,0,0,8,9
Kyle Larson,2022,5,9,0,0,0,7,2
Ricky Stenhouse Jr,2022,5,13,0,0,0,6,7
Austin Cindric,2022,5,5,0,0,0,5,0
Kyle Busch,2022,5,4,0,0,0,4,0
Cole Custer,2022,5,3,0,0,0,3,0
Austin Dillon,2022,5,2,0,0,0,2,0
Ty Dillon,2022,5,1,0,0,0,1,0
Noah Gragson,2022,5,0,0,0,0,1,0
Ross Chastain,2022,6,43,1,0,5,40,3
Alex Bowman,2022,6,43,0,0,0,35,8
Christopher Bell,2022,6,34,0,0,0,34,0
Chase Elliott,2022,6,37,0,0,0,33,4
Tyler Reddick,2022,6,32,0,0,0,32,0
Ryan Blaney,2022,6,47,0,0,0,31,16
Martin Truex Jr,2022,6,30,0,0,0,30,0
Austin Cindric,2022,6,32,0,0,0,29,3
Erik Jones,2022,6,28,0,0,0,28,0
Austin Dillon,2022,6,32,0,0,0,27,5
Kevin Harvick,2022,6,26,0,0,0,26,0
William Byron,2022,6,25,0,0,0,25,0
Michael McDowell,2022,6,24,0,0,0,24,0
Brad Keselowski,2022,6,23,0,0,0,23,0
Justin Haley,2022,6,27,0,0,0,22,5
Todd Gilliland,2022,6,21,0,0,0,21,0
Harrison Burton,2022,6,26,0,0,0,20,6
Denny Hamlin,2022,6,29,0,1,1,19,10
Aric Almirola,2022,6,24,0,0,0,18,6
Ty Dillon,2022,6,17,0,0,0,17,0
Chris Buescher,2022,6,16,0,0,0,16,0
Josh Bilicki,2022,6,0,0,0,0,15,0
Cole Custer,2022,6,14,0,0,0,14,0
Daniel Suarez,2022,6,23,0,1,1,13,10
Kaz Grala,2022,6,0,0,0,0,12,0
Boris Said,2022,6,11,0,0,0,11,0
Cody Ware,2022,6,10,0,0,0,10,0
Kyle Busch,2022,6,18,0,0,0,9,9
Kyle Larson,2022,6,14,0,0,0,8,6
Chase Briscoe,2022,6,10,0,0,0,7,3
Joey Logano,2022,6,21,0,0,0,6,15
Kurt Busch,2022,6,5,0,0,0,5,0
A.J. Allmendinger,2022,6,0,0,0,0,4,0
Loris Hezemans,2022,6,0,0,0,0,3,0
Joey Hand,2022,6,2,0,0,0,2,0
Corey LaJoie,2022,6,1,0,0,0,1,0
Ricky Stenhouse Jr,2022,6,1,0,0,0,1,0
Bubba Wallace,2022,6,2,0,0,0,1,1
Andy Lally,2022,6,0,0,0,0,1,0
Denny Hamlin,2022,7,40,1,0,5,40,0
Kevin Harvick,2022,7,40,0,0,0,35,5
William Byron,2022,7,43,0,0,0,34,9
Martin Truex Jr,2022,7,50,0,1,1,33,17
Kyle Larson,2022,7,34,0,0,0,32,2
Christopher Bell,2022,7,44,0,0,0,31,13
Ryan Blaney,2022,7,46,0,1,1,30,16
Alex Bowman,2022,7,29,0,0,0,29,0
Kyle Busch,2022,7,37,0,0,0,28,9
Austin Dillon,2022,7,27,0,0,0,27,0
Chase Briscoe,2022,7,26,0,0,0,26,0
Tyler Reddick,2022,7,25,0,0,0,25,0
Brad Keselowski,2022,7,27,0,0,0,24,3
Chase Elliott,2022,7,33,0,0,0,23,10
Chris Buescher,2022,7,22,0,0,0,22,0
Daniel Suarez,2022,7,21,0,0,0,21,0
Joey Logano,2022,7,30,0,0,0,20,10
Harrison Burton,2022,7,19,0,0,0,19,0
Ross Chastain,2022,7,34,0,0,0,18,16
Austin Cindric,2022,7,17,0,0,0,17,0
Aric Almirola,2022,7,16,0,0,0,16,0
Cole Custer,2022,7,15,0,0,0,15,0
Erik Jones,2022,7,14,0,0,0,14,0
Ty Dillon,2022,7,13,0,0,0,13,0
Todd Gilliland,2022,7,12,0,0,0,12,0
Bubba Wallace,2022,7,11,0,0,0,11,0
A.J. Allmendinger,2022,7,0,0,0,0,10,0
Ricky Stenhouse Jr,2022,7,9,0,0,0,9,0
Justin Haley,2022,7,8,0,0,0,8,0
Michael McDowell,2022,7,7,0,0,0,7,0
Corey LaJoie,2022,7,6,0,0,0,6,0
Landon Cassill,2022,7,0,0,0,0,5,0
J.J. Yeley,2022,7,0,0,0,0,4,0
B.J. McLeod,2022,7,3,0,0,0,3,0
Kurt Busch,2022,7,2,0,0,0,2,0
Cody Ware,2022,7,1,0,0,0,1,0
Greg Biffle,2022,7,1,0,0,0,1,0
William Byron,2022,8,58,1,0,5,40,18
Joey Logano,2022,8,46,0,0,0,35,11
Austin Dillon,2022,8,39,0,0,0,34,5
Ryan Blaney,2022,8,44,0,0,0,33,11
Ross Chastain,2022,8,32,0,0,0,32,0
Kurt Busch,2022,8,32,0,0,0,31,1
Kyle Busch,2022,8,30,0,0,0,30,0
Aric Almirola,2022,8,39,0,0,0,29,10
Chase Briscoe,2022,8,28,0,0,0,28,0
Chase Elliott,2022,8,47,0,2,2,27,20
Austin Cindric,2022,8,31,0,0,0,26,5
Alex Bowman,2022,8,25,0,0,0,25,0
Erik Jones,2022,8,24,0,0,0,24,0
Kevin Harvick,2022,8,29,0,0,0,23,6
Chris Buescher,2022,8,22,0,0,0,22,0
Bubba Wallace,2022,8,21,0,0,0,21,0
Brad Keselowski,2022,8,20,0,0,0,20,0
Tyler Reddick,2022,8,19,0,0,0,19,0
Kyle Larson,2022,8,18,0,0,0,18,0
Christopher Bell,2022,8,26,0,0,0,17,9
Cole Custer,2022,8,30,0,0,0,16,14
Martin Truex Jr,2022,8,15,0,0,0,15,0
Ty Dillon,2022,8,14,0,0,0,14,0
A.J. Allmendinger,2022,8,0,0,0,0,13,0
Michael McDowell,2022,8,12,0,0,0,12,0
Harrison Burton,2022,8,11,0,0,0,11,0
Ricky Stenhouse Jr,2022,8,10,0,0,0,10,0
Denny Hamlin,2022,8,9,0,0,0,9,0
Daniel Suarez,2022,8,8,0,0,0,8,0
Todd Gilliland,2022,8,7,0,0,0,7,0
Justin Haley,2022,8,6,0,0,0,6,0
Corey LaJoie,2022,8,5,0,0,0,5,0
Cody Ware,2022,8,4,0,0,0,4,0
J.J. Yeley,2022,8,0,0,0,0,3,0
Josh Bilicki,2022,8,0,0,0,0,2,0
B.J. McLeod,2022,8,1,0,0,0,1,0
Kyle Busch,2022,9,52,1,0,5,40,12
Tyler Reddick,2022,9,39,0,0,0,35,4
Joey Logano,2022,9,42,0,0,0,34,8
Kyle Larson,2022,9,48,0,1,1,33,15
Ryan Blaney,2022,9,36,0,0,0,32,4
Alex Bowman,2022,9,36,0,0,0,31,5
Christopher Bell,2022,9,47,0,0,0,30,17
Chase Elliott,2022,9,36,0,0,0,29,7
Michael McDowell,2022,9,31,0,0,0,28,3
Ty Dillon,2022,9,36,0,0,0,27,9
Brad Keselowski,2022,9,26,0,0,0,26,0
Daniel Suarez,2022,9,33,0,0,0,25,8
Cole Custer,2022,9,24,0,0,0,24,0
Justin Haley,2022,9,23,0,0,0,23,0
Chris Buescher,2022,9,22,0,0,0,22,0
Austin Cindric,2022,9,21,0,0,0,21,0
